release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,liked
3/5/21,178153,86,0.781,0.0136,0.781,0.594,0,0.162,-6.959,0.0485,129.895,4,0
2/28/20,232064,71,0.883,0.0317,0.883,0.808,0,0.207,-3.158,0.183,119.012,4,0
7/21/20,210360,50,0.735,0.0621,0.735,0.652,0,0.108,-7.605,0.208,139.978,4,0
1/15/21,157355,80,0.697,0.00215,0.697,0.674,0,0.138,-6.326,0.0533,81.535,4,0
4/30/21,225020,80,0.89,0.00306,0.89,0.701,3.06E-06,0.0895,-5.712,0.342,80.462,4,0
2/12/21,189808,62,0.81,0.155,0.81,0.611,0,0.0739,-7.978,0.221,119.956,4,0
8/14/20,280877,57,0.739,0.428,0.739,0.46,0.00107,0.125,-8.305,0.211,97.962,4,0
12/11/20,216560,68,0.39,0.162,0.39,0.724,0,0.393,-7.607,0.0889,165.945,4,0
7/6/20,195327,49,0.501,0.0887,0.501,0.666,0,0.233,-4.118,0.233,83.449,4,0
4/16/21,242600,77,0.851,0.00949,0.851,0.703,2.57E-05,0.0895,-7.351,0.303,74.017,4,0
9/4/20,199758,81,0.724,0.0978,0.724,0.675,9.41E-06,0.351,-5.267,0.0867,160.048,4,0
9/25/20,180906,54,0.555,0.503,0.555,0.583,0,0.269,-5.13,0.41,107.17,5,0
5/8/20,143824,62,0.838,0.231,0.838,0.609,0,0.0983,-5.161,0.0502,127.963,4,0
8/31/20,131274,44,0.738,0.089,0.738,0.736,0,0.209,-6.2,0.12,106.998,4,0
8/11/20,185076,46,0.7,0.374,0.7,0.469,0,0.105,-10.076,0.495,130.021,4,0
8/14/19,265653,45,0.925,0.235,0.925,0.462,0.0147,0.0795,-8.448,0.166,127.983,4,0
5/15/20,172444,47,0.935,0.139,0.935,0.579,1.43E-06,0.11,-7.392,0.112,135.011,4,0
11/24/20,194358,63,0.648,0.027,0.648,0.722,0,0.169,-9.992,0.489,176.553,4,0
5/6/21,168727,84,0.807,0.0224,0.807,0.659,0,0.309,-6.92,0.332,82.465,4,0
7/16/20,218901,80,0.695,0.0743,0.695,0.343,1.04E-06,0.107,-10.798,0.0432,85.84,4,0
11/20/20,179372,58,0.644,0.312,0.644,0.71,0,0.101,-4.078,0.04,143.061,4,0
10/30/20,180680,47,0.471,0.352,0.471,0.835,0,0.161,-4.972,0.387,176.049,4,0
4/10/20,164774,39,0.882,0.153,0.882,0.735,1.47E-05,0.103,-5.372,0.115,149.949,4,0
5/18/20,143475,0,0.84,0.0732,0.84,0.304,1.76E-05,0.115,-6.52,0.101,76.474,4,0
11/6/20,242602,47,0.685,0.353,0.685,0.896,0,0.146,-6.478,0.44,80.104,4,0
10/30/20,152920,69,0.729,0.111,0.729,0.503,0,0.123,-8.229,0.081,134.927,4,0
6/26/20,174000,47,0.609,0.739,0.609,0.399,0.000145,0.104,-14.415,0.773,70.894,3,0
10/9/20,222248,56,0.63,0.419,0.63,0.694,0,0.134,-6.593,0.313,91.749,4,0
12/6/19,160055,6,0.804,0.403,0.804,0.432,0,0.106,-9.91,0.511,144.059,4,0
4/15/20,218800,42,0.835,0.131,0.835,0.68,0,0.0782,-4.329,0.244,132.952,4,0
9/10/20,295556,0,0.67,0.229,0.67,0.631,0,0.194,-8.162,0.364,77.933,4,0
3/12/21,183021,43,0.834,0.226,0.834,0.537,0,0.101,-7.652,0.285,139.038,4,0
4/30/21,236524,83,0.477,0.000866,0.477,0.727,0,0.108,-4.053,0.286,150.062,4,0
9/4/20,136461,64,0.72,0.0514,0.72,0.542,3.50E-06,0.136,-7.583,0.0482,74.977,4,0
4/16/21,158000,60,0.762,0.0288,0.762,0.516,0,0.0966,-8.016,0.0969,156.97,4,0
10/30/20,172800,54,0.916,0.15,0.916,0.572,4.88E-06,0.104,-5.566,0.105,99.998,4,0
11/11/20,188074,52,0.873,0.0369,0.873,0.497,0.0324,0.119,-7.145,0.0899,145.013,4,0
11/20/20,168000,41,0.666,0.39,0.666,0.7,0,0.143,-6.368,0.135,160.038,4,0
5/28/21,169500,69,0.843,0.00507,0.843,0.538,0,0.133,-5.928,0.47,160.088,4,0
2/26/21,200424,81,0.853,0.0765,0.853,0.426,0,0.104,-6.812,0.374,160.051,4,0
5/28/21,211029,55,0.949,0.00126,0.949,0.642,0,0.166,-4.163,0.232,142.003,4,0
5/26/21,208194,48,0.669,0.0412,0.669,0.585,0,0.606,-6.138,0.287,83.099,4,0
4/16/21,170120,63,0.812,0.346,0.812,0.639,0,0.582,-4.639,0.442,138.961,4,0
3/26/21,213080,79,0.831,0.447,0.831,0.727,0,0.111,-3.657,0.169,125.068,4,0
5/21/21,199093,72,0.506,0.0229,0.506,0.473,0,0.15,-9.79,0.331,100.535,5,0
5/17/21,219192,58,0.834,0.00308,0.834,0.888,0,0.288,-3.944,0.222,114.92,4,0
5/28/21,178285,43,0.771,0.0947,0.771,0.531,0,0.185,-9.002,0.498,139.98,4,0
5/28/21,134284,44,0.714,0.169,0.714,0.722,0,0.498,-5.713,0.345,143.136,4,0
5/16/21,232615,58,0.81,0.0298,0.81,0.75,0,0.103,-8.225,0.363,130.096,4,0
4/2/21,148484,64,0.933,0.00879,0.933,0.526,3.86E-05,0.276,-6.398,0.244,131.99,4,0
4/2/21,155720,82,0.871,0.0143,0.871,0.545,0,0.148,-10.489,0.189,100.482,4,0
4/30/21,199157,43,0.797,0.201,0.797,0.378,0,0.135,-11.692,0.508,87.912,4,0
4/30/21,210778,59,0.731,0.544,0.731,0.41,0,0.11,-10.666,0.083,114.104,4,0
4/30/21,172388,58,0.842,0.072,0.842,0.827,0,0.126,-5.483,0.33,149.971,4,0
2/7/21,115748,54,0.859,0.798,0.859,0.61,0,0.131,-5.875,0.26,100.095,4,0
5/21/21,123960,55,0.764,0.0713,0.764,0.855,0,0.0406,-5.711,0.161,91.991,4,0
5/21/21,123541,55,0.92,0.00418,0.92,0.424,1.62E-06,0.164,-5.24,0.226,134.975,4,0
5/21/21,212093,45,0.64,0.129,0.64,0.83,0,0.331,-7.849,0.279,171.933,4,0
4/16/21,93707,64,0.841,0.053,0.841,0.56,0,0.114,-5.679,0.276,160.878,4,0
5/14/21,121836,64,0.858,0.225,0.858,0.625,0,0.18,-4.666,0.404,130.05,4,0
4/28/21,202987,57,0.726,0.0317,0.726,0.611,0,0.286,-5.541,0.338,154.067,4,0
