song_id,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,liked
0,8/28/20,169456,19,0.691,0.00117,0.691,0.566,2.86E-05,0.165,-8.662,0.0545,136.007,4,1
1,1/1/21,177662,20,0.756,0.385,0.756,0.509,0,0.113,-8.924,0.15,76.97,4,1
2,3/25/21,162127,49,0.752,0.175,0.752,0.427,0.00278,0.306,-7.28,0.109,93.877,4,1
3,5/14/21,218801,88,0.597,0.0622,0.597,0.587,0,0.214,-7.026,0.137,140.021,4,1
4,7/10/20,202193,76,0.63,0.337,0.63,0.446,0,0.166,-8.9,0.0351,143.078,4,1
5,5/7/21,236883,88,0.584,0.0144,0.584,0.859,0,0.847,-5.616,0.121,77.005,4,1
6,5/7/21,155675,55,0.827,0.0179,0.827,0.728,0,0.0695,-6.781,0.299,148.002,4,1
7,5/7/21,209916,64,0.824,0.208,0.824,0.821,0,0.448,-5.3,0.239,99.991,4,1
8,3/17/21,183915,55,0.697,0.00831,0.697,0.53,0,0.0984,-8.15,0.313,75.852,4,1
9,1/16/16,194226,60,0.812,0.0611,0.812,0.623,0,0.111,-7.002,0.343,119.883,4,1
10,7/6/17,201818,55,0.676,0.186,0.676,0.763,1.92E-06,0.107,-7.604,0.198,87.967,4,1
11,3/24/21,160078,68,0.55,0.597,0.55,0.637,0,0.129,-5.212,0.163,84.448,4,1
12,4/16/21,112000,51,0.677,0.202,0.677,0.552,0,0.0955,-6.88,0.0482,90.008,4,1
13,4/16/21,188583,59,0.58,0.0275,0.58,0.651,0,0.102,-5.537,0.0459,157.888,4,1
14,2/9/18,221826,67,0.855,0.00759,0.855,0.478,0,0.101,-9.116,0.193,130.018,4,1
15,5/4/18,195832,57,0.744,0.116,0.744,0.856,0,0.328,-4.115,0.084,145.966,4,1
16,3/25/21,175301,69,0.655,0.476,0.655,0.716,0,0.479,-5.077,0.0897,80.813,4,1
17,2/7/20,236703,73,0.679,0.873,0.679,0.281,0.00335,0.215,-15.506,0.184,74.996,4,1
18,8/28/20,205740,28,0.726,0.0127,0.726,0.502,0.0156,0.449,-11.372,0.268,140.01,4,1
19,1/29/21,188447,34,0.766,0.355,0.766,0.419,0,0.0989,-11.368,0.0475,128.033,4,1
20,8/16/19,211301,47,0.729,0.362,0.729,0.503,0,0.139,-6.957,0.197,138.181,4,1
21,9/18/20,247079,80,0.505,0.279,0.505,0.267,0,0.096,-13.763,0.05,143.929,4,1
22,1/29/21,214692,78,0.539,0.173,0.539,0.615,0.0056,0.144,-8.746,0.252,163.924,4,1
23,12/1/20,225710,27,0.684,0.00122,0.684,0.623,0.000695,0.183,-7.312,0.0259,110.992,4,1
24,11/29/19,268720,57,0.537,0.576,0.537,0.736,0,0.0682,-8.276,0.299,87.75,4,1
25,10/24/18,206500,67,0.905,0.453,0.905,0.562,0.000285,0.13,-7.884,0.0662,139.997,4,1
26,2/26/21,216551,18,0.804,0.032,0.804,0.422,6.91E-05,0.159,-11.939,0.148,141.974,4,1
27,2/18/21,132173,44,0.798,0.142,0.798,0.515,0,0.106,-9.437,0.0573,137.973,4,1
28,3/1/19,141826,70,0.755,0.128,0.755,0.772,0,0.157,-5.585,0.4,132.906,4,1
29,11/19/19,154468,33,0.756,0.0758,0.756,0.455,0,0.113,-8.611,0.047,87.011,4,1
30,6/19/20,202388,37,0.614,0.577,0.614,0.524,0,0.344,-11.668,0.363,133.984,4,1
